Available Drivers,Cancel Time,Order ID,Placed Time,Reject Time,Response Distance,Response Time,Service Type
28,,156,6/8/2018 1:23:10 PM,,2974,6/8/2018 1:23:19 PM,Van
163,,157,6/8/2018 1:25:43 PM,,2837,6/8/2018 1:25:54 PM,Van
46,6/8/2018 1:35:34 PM,158,6/8/2018 1:35:14 PM,,2226,6/8/2018 1:35:25 PM,Van
136,,159,6/8/2018 1:35:33 PM,,2609,6/8/2018 1:35:42 PM,Van
123,,160,6/8/2018 1:35:56 PM,,2319,6/8/2018 1:36:03 PM,Van
101,,161,6/8/2018 1:39:32 PM,,8882,6/8/2018 1:39:39 PM,Van
48,6/8/2018 1:43:17 PM,162,6/8/2018 1:42:41 PM,,1829,6/8/2018 1:43:03 PM,Van
68,,163,6/8/2018 1:43:01 PM,,2745,6/8/2018 1:43:09 PM,Van
45,6/8/2018 1:55:36 PM,164,6/8/2018 1:48:38 PM,,4032,6/8/2018 1:53:51 PM,Van
175,,165,6/8/2018 1:50:25 PM,,1233,6/8/2018 1:50:34 PM,Van
132,6/8/2018 1:51:06 PM,166,6/8/2018 1:50:33 PM,,1483,6/8/2018 1:50:41 PM,Van
53,,167,6/8/2018 1:50:37 PM,,1396,6/8/2018 1:50:57 PM,Van
123,,168,6/8/2018 1:50:37 PM,,2848,6/8/2018 1:50:44 PM,Van
136,,169,6/8/2018 1:53:54 PM,,3350,6/8/2018 1:54:02 PM,Van
2,,170,6/8/2018 1:53:55 PM,,10713,6/8/2018 1:55:42 PM,Van
23,,171,6/8/2018 1:54:27 PM,,,6/8/2018 1:54:50 PM,Van
79,6/8/2018 1:55:32 PM,172,6/8/2018 1:55:11 PM,,1961,6/8/2018 1:55:22 PM,Van
135,,173,6/8/2018 1:55:17 PM,,3225,6/8/2018 1:55:25 PM,Van
128,,174,6/8/2018 1:55:42 PM,,1690,6/8/2018 1:55:49 PM,Van
48,,175,6/8/2018 2:00:46 PM,,6,6/8/2018 2:00:55 PM,Van
33,6/8/2018 2:01:44 PM,176,6/8/2018 2:01:32 PM,,,,Motorcycle
33,,177,6/8/2018 2:02:39 PM,,4084,6/8/2018 2:03:01 PM,Motorcycle
41,6/8/2018 2:03:34 PM,178,6/8/2018 2:03:05 PM,,2278,6/8/2018 2:03:14 PM,Van
114,,179,6/8/2018 2:08:44 PM,,2319,6/8/2018 2:08:57 PM,Van
135,,180,6/8/2018 2:12:05 PM,,2063,6/8/2018 2:12:13 PM,Van
26,,181,6/8/2018 2:12:21 PM,,540,6/8/2018 2:12:41 PM,Van
89,6/8/2018 2:13:24 PM,182,6/8/2018 2:13:10 PM,,2043,6/8/2018 2:13:18 PM,Van
94,,183,6/8/2018 2:13:30 PM,,2497,6/8/2018 2:13:39 PM,Van
87,6/8/2018 2:16:38 PM,184,6/8/2018 2:16:19 PM,,2043,6/8/2018 2:16:32 PM,Van
97,,185,6/8/2018 2:18:25 PM,,2540,6/8/2018 2:18:33 PM,Van
201,,186,6/8/2018 2:18:48 PM,,1318,6/8/2018 2:18:57 PM,Van
11,,187,6/8/2018 2:19:13 PM,6/8/2018 3:31:21 PM,4039,6/8/2018 2:19:33 PM,Van
36,,188,6/8/2018 2:19:54 PM,,3069,6/8/2018 2:20:02 PM,Van
